PLAYERS,GAMES,MIN,MPG,PTS,PPG,REB,RPG,OREB,DREB,AST,APG,STL,SPG,BLK,BPG,TO,TOPG,PF,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP
Aaliyah Edwards,3,19,6.33,18.0,6.0,14.0,4.67,5.0,9.0,4.0,1.33,1.0,0.33,1.0,0.33,3.0,1.0,5.0,8.0,11.0,72.7,0.0,0.0,0.0,1.0,3.0,33.3
Aliyah Boston,2,20,10.0,17.0,8.5,14.0,7.0,7.0,7.0,3.0,1.5,1.0,0.5,0.0,0.0,1.0,0.5,4.0,7.0,17.0,41.2,0.0,0.0,0.0,2.0,2.0,100.0
Allisha Gray,2,31,15.5,36.0,18.0,15.0,7.5,1.0,14.0,2.0,1.0,2.0,1.0,0.0,0.0,4.0,2.0,6.0,14.0,28.0,50.0,2.0,10.0,20.0,4.0,6.0,66.7
Alyssa Thomas,2,44,22.0,30.0,15.0,23.0,11.5,4.0,19.0,8.0,4.0,2.0,1.0,1.0,0.5,4.0,2.0,6.0,13.0,21.0,61.9,0.0,0.0,0.0,2.0,3.0,66.7
Angel Reese,2,24,12.0,22.0,11.0,20.0,10.0,5.0,15.0,5.0,2.5,0.0,0.0,0.0,0.0,5.0,2.5,5.0,8.0,17.0,47.1,0.0,0.0,0.0,3.0,5.0,60.0
Arike Ogunbowale,2,26,13.0,31.0,15.5,4.0,2.0,0.0,4.0,6.0,3.0,2.0,1.0,0.0,0.0,1.0,0.5,4.0,14.0,28.0,50.0,2.0,9.0,22.2,1.0,2.0,50.0
Azurá Stevens,2,20,10.0,23.0,11.5,12.0,6.0,5.0,7.0,0.0,0.0,1.0,0.5,1.0,0.5,1.0,0.5,5.0,10.0,18.0,55.6,2.0,5.0,40.0,1.0,2.0,50.0
Breanna Stewart,3,43,14.33,50.0,16.67,38.0,12.67,3.0,35.0,8.0,2.67,3.0,1.0,2.0,0.67,4.0,1.33,4.0,17.0,45.0,37.8,2.0,16.0,12.5,8.0,11.0,72.7
Brittney Griner,3,58,19.33,49.0,16.33,20.0,6.67,1.0,19.0,2.0,0.67,1.0,0.33,1.0,0.33,2.0,0.67,5.0,22.0,33.0,66.7,1.0,2.0,50.0,3.0,5.0,60.0
Brittney Sykes,2,23,11.5,22.0,11.0,5.0,2.5,1.0,4.0,5.0,2.5,0.0,0.0,0.0,0.0,4.0,2.0,9.0,9.0,18.0,50.0,1.0,4.0,25.0,2.0,2.0,100.0
